순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9788936515027,105022193,환대,"10,800원",600원,김희준,홍성사,"존재(being)와 비존재(non-being) 그 사이 경계선에 놓인 ‘나’와 ‘너’를 ‘환대’한다 “30호 이승윤의 사람을 향한 작은 시선” 읽기 한 음악 경연 프로그램에 낯선 멜로디와 몸짓으로 등장한 30호는 우리에게 작은 충격을 안겼다. 그 충격 안에는 자신만의 장르로 재해석된 음악뿐 아니라 그의 말들이 주는 울림도 있었다. “나는 환대를 받았다”, “존재의 의의를 구체화하겠다”, “나는 경계선에 서 있다”. 환대, 존재, 경계선은 자신의 정체성을 표현하는 단어이자, 지금 이 시대 많은 이들의 모습을 반영하는 말이기도 했다. 30호가 꺼낸 3개의 단어는 멀리 토론토대학교의 한 젊은 철학도를 사로잡았다. 그는 이승윤이 말한 이 세 가지 렌즈를 그의 음악뿐만 아니라 이 세상과 자아를 고찰할 수 있는 유익한 도구로 사용하며 우리 시대의 환대, 존재, 경계선에 대한 짧은 에세이를 펴냈다.",2,국내도서-예술
12,9791155814178,105049295,디자인 너머,"27,000원","1,500원",게슈탈텐/오수원,윌북(willbook),"세계적 거장 디자이너 피터 슈라이어 그의 디자인 언어를 한 권의 책으로 동서양의 경계를 허무는 혁신의 아이덴티티가 페이지마다 정제된 글과 아름다운 이미지로 펼쳐진다 세계적 자동차 디자이너 피터 슈라이어의 삶과 디자인 철학을 담은 책이다. 독일의 시골 식당 한 켠에서 그림을 그리던 한 꼬마가 유럽을 넘어 한국, 그리하여 전 세계로 뻗어나간 디자인 명장이 되기까지 장대한 여정이 파노라마처럼 눈앞에 펼쳐진다. 어린 시절의 드로잉부터 아우디 TT, 골프4, K시리즈를 만들어내기까지, 펜 하나로 세상을 바꾼 디자이너로서의 성장 과정이 함축적인 글과 직관적인 이미지들로 조화롭게 구성되었다. 그리고 그의 여정은 지금도 현재진행형이다. 독일 아우디와 폭스바겐에서 아우디 TT, 뉴비틀, 골프4를 연이어 성공시키며 디자인 명장의 반열에 오른 그는 2006년 한국의 기아자동차에서 보내온 제안을 받아들인다.",1,국내도서-예술
13,9788903411116,3645472,스즈키 바이올린 교본 1,"10,800원",600원,편집부,세광음악출판사,"저자 스즈키의 30년에 걸친 교육 경험에 의하여 엮어진 이 교본은 국내외를 막론하여 높이 평가하는 바이올린 교본으로서, 새로운 지도법과 연주법을 누구나 알기 쉽게 설명하였다. 악기를 잡는 바른 자세 등 기초적인 내용부터 포지션 잡는 법 등의 내용을 수록하였다.",1,국내도서-예술
14,9791191825084,103597472,기묘한 미술관,"16,020원",890원,진병관,빅피시,"“소설보다 재미있다” 프랑스 공인 문화해설사 진병관이 들려주는 매혹의 스토리텔링 명화 수업 시체를 찾기 위해 영안실을 전전하던 화가가 있다면? 16세기에 그려진 늑대 소녀의 초상화가 있다면? 피가 뚝뚝 떨어지는 소의 사체를 그리다가 살해당했다고 소문이 난 화가가 있다면? 우리가 잘 아는 명화들을 들여다보면 보이는 게 전부가 아니라는 것을 알 수 있다. 그저 아름답게 보이지만 사실은 추악한 진실이 숨겨져 있는 그림, 지금은 모두가 칭송하지만 당대에는 철저히 외면당했던 그림, 아직도 숨겨진 비밀을 풀 수 없어 더욱 궁금한 그림…. 『기묘한 미술관』에는 프랑스 공인 문화해설사 진병관이 누구나 안다고 생각하지만 누구도 제대로 알지 못하는 명화 속 미스터리를 소설보다 흥미진진하게 풀어낸 이야기들이 담겨 있다.",1,국내도서-예술
15,9788978496483,105118433,용자 시리즈 30주년 메모리얼 아카이브,"34,200원","1,900원",선라이즈/김익환,삼호미디어,"용자 시리즈의 원화와 캐릭터 설정 자료부터 처음 공개된 컬렉션과 관련 인터뷰까지 초용자전의 모든 것을 담은 공식 도감 용자 시리즈는 애니메이션 제작사인 선라이즈와 완구 제작사인 타카라(현 타카라토미)가 공동으로 기획하여 만들어낸 로봇 만화 시리즈이다. 용자라고 불리는 로봇과 등장인물들 사이의 교류, 악의 로봇과 싸우는 통쾌한 메카 액션을 중심으로 각 작품마다 다양한 테마를 가지고 제작된 용자 시리즈는 시리즈가 시작된 지 30년이 지난 지금도 다양한 전개를 보여주며 그 전개는 아직도 끝나지 않았다. 『용자 시리즈 30주년 메모리얼 아카이브』는 일본에서 용자 시리즈 30주년을 기념하여 개최된 「초용자전」의 공식 카탈로그이다. 선라이즈에서 제작한 모든 용자 시리즈의 원화와 캐릭터 설정 자료부터 이번에 처음 공개된 컬렉션과 관련 인터뷰까지 수록되어 있다.",1,국내도서-예술
16,9791163988199,103972774,포인트 캐릭터 드로잉 세트,"25,200원","1,400원",타코,레진엔터테인먼트,"타코 작가가 짚어주는 ‘인체의 핵심 포인트’ 드로잉 분야 스테디셀러 『시크릿 캐릭터 드로잉』에 이은 인체 가이드 그림은 자유롭게 상상하고 표현하는 것! 중요한 것은 재미와 해석! 그림에 정답은 없고, 『포인트 캐릭터 드로잉』은 수많은 그림 이론 중 하나의 가이드이다. 책에 나오는 이론을 절대적인 규칙으로 생각해서 따르기보다는 조금은 쉽게 재해석한 데포르메 인체 가이드로 봤으면 한다.",1,국내도서-예술
17,9788903411123,3800181,스즈키 바이올린 교본 2,"10,800원",600원,편집부,세광음악출판사,"저자 스즈키의 30년에 걸친 교육 경험에 의하여 엮어진 이 교본은 국내외를 막론하여 높이 평가하는 바이올린 교본으로서, 새로운 지도법과 연주법을 누구나 알기 쉽게 설명하였다. 첨부된 CD를 들어보며 집에서도 혼자 연습할 수 있게 배려했다.",1,국내도서-예술
18,9788936478780,103228554,벌거벗은 미술관,"16,200원",900원,양정무,창비,"미술의 눈으로 보면 역사와 인류가 다시 보인다 미술이 보여주는 반전의 대서사시! 다양한 학문의 경계를 넘나들며 미술사를 풀어내는 우리나라 최고의 미술 안내자 양정무가 미술에 대한 우리의 오래된 고정관념을 환기하며 미술작품을 통한 사유와 감성의 확대를 모색한 책 『벌거벗은 미술관』이 출간되었다. 고대부터 현대까지 아우르는 미술의 장구한 역사를 인류 문명사적 관점에서 연구하는 미술사학자이자 ‘인문학의 꽃’으로 불리는 미술사를 대중화하는 데 노력해온 양정무가 오랫동안 미술작품을 마주할 때마다 고민해오던 문제들을 대중의 눈높이에 맞춰 집요하면서도 자상하게 풀어낸다. ‘미술은 왜 끊임없이 과거로 되돌아가려는 속성을 보여주는가’라는 질문을 통해 고전미술의 신화화 과정을 파헤치고, 미술관에 들어설 때마다 느끼던 무게감을 초상화의 무표정성이라는 관점에서 분석한다.",1,국내도서-예술
19,9791168120488,104492476,인간실격 세트,"32,400원","1,800원",김지혜,위즈덤하우스,"인생의 중턱에서 문득, ‘아무것도 되지 못했다는 것’을 깨닫는, 빛을 향해 최선을 다해 걸어오던 평범한 사람들의 이야기 [인간실격] 대본집. 아무것도 되지 못한 채 길을 잃은 여자 ‘부정’과 아무것도 못 될 것 같은 자신이 두려워진 청춘 끝자락의 남자 ‘강재’. 격렬한 어둠 속에서 빛을 찾아가는 두 남녀의 가슴 시린 여정을 밀도 있게 그려낸 [인간실격]은 내면을 파고드는 깊은 통찰과 결이 다른 감성으로 수많은 시청자들의 인생 드라마로 등극하였다. 쉼표 하나까지도 허투루 흘려보내지 않고 완벽히 연기해낸 명배우들의 섬세한 감정선과 치유와 성장의 순간을 오롯이 느낄 수 있게 해주는 무삭제 대본집을 통해 [인간실격]이 우리의 삶에 건네준 위로와 공감을 오래도록 간직하게 될 것이다.",1,국내도서-예술
20,9791158512132,99273929,내가 사랑한 화가들,"15,120원",840원,정우철,나무의철학,"“그저 도슨트가 되고 싶다는 마음으로 그림을 공부하다가 내 인생을 송두리째 바꿔놓은”, 그래서 특별히 사랑하는 열한 명의 화가를 직접 골라 그들의 인생과 대표작들을 쉽고 재미있게 소개한 책이다. 국내 최고의 지식 강연, EBS 클래스e 시청률 1위! [미술극장] 진행자 정우철 도슨트와 함께하는 세상에서 가장 재미있고 지적인 예술 탐험 우리나라 최고의 스타 도슨트이자 도슨트계의 아이돌이라 불리는 정우철 전시해설가의 첫 책이 출간되었다. 『내가 사랑한 화가들』은 저자가 “그저 도슨트가 되고 싶다는 마음으로 그림을 공부하다가 내 인생을 송두리째 바꿔놓은”, 그래서 특별히 사랑하는 열한 명의 화가를 직접 골라 그들의 인생과 대표작들을 쉽고 재미있게 소개한 책이다. 저자는 어린 시절부터 화가였던 어머니가 그림을 그리고 개인전을 여는 모습을 지켜보며 자란 덕에 일찍부터 미술과 친숙했다.",2,국내도서-예술
21,9791160406641,104228085,한국의 그림책 작가들에게 묻다,"16,200원",900원,최혜진/해란,한겨레출판,"생의 각 길목에서 ‘돌파하는 힘’이 필요한 사람들에게 그림책 작가들이 들려주는 이야기 『그림책에 마음을 묻다』 『유럽의 그림책 작가들에게 묻다』 『북유럽 그림이 건네는 말』 등의 책을 집필해온 최혜진 작가가 ‘한국 그림책 작가들의 돌파하는 힘’이라는 주제로 신간을 출간했다. 『한국의 그림책 작가들에게 묻다』는 ‘고유의 돌파성’으로 자신만의 창작 세계를 만들어온 한국 그림책 작가 10명의 이야기다(저자는 전작 『유럽의 그림책 작가들에게 묻다』에서 유럽 그림책 작가들의 창조성에 대해 써내려간 바 있다). 어려운 한국의 그림책 시장 상황 속에서도 꿋꿋이 빛나는 작품을 쏟아내는, 그림책 작가들의 힘은 어디에서 오는 걸까? 저자는 그림책 작가들의 체념하지 않고, 낙관하는 법, 파괴하지 않고 살려내는 창조적 에너지의 원천이 궁금해 이 책을 집필했다.",1,국내도서-예술
22,9791190931106,92909973,[예스리커버] 읽기만 하면 내 것이 되는 1페이지 미술 365,"16,650원",920원,김영숙,비에이블,"문득, 미술관에 가고 싶은 당신에게 1일 1페이지, 세계 명화 365점을 만나는 아름다운 교양수업 『읽기만 하면 내 것이 되는 1페이지 미술 365』는 매일 1페이지씩, 세계 명화 365점과 함께 미술의 모든 지식을 단 한 권으로 만날 수 있는 책이다. 월요일부터 일요일까지 명작, 미술사, 화가, 장르·기법, 미술로 보는 세계사, 스캔들·미스터리, 신화·종교 총 일곱 분야의 지식을 다루고 있어 꼭 알아야 할 미술 교양을 빠짐없이 쌓을 수 있다. 반 고흐, 렘브란트처럼 잘 알려진 화가부터 콜비츠, 키르히너 등 우리가 미처 잘 몰랐던 근대화가의 눈부신 명작들을 엄선해 다뤘고, 회화뿐 아니라 조각, 고대벽화, 판화 등 다양한 장르의 미술 작품을 충실히 담았다. 단지 화가와 작품에 대한 소개에서 끝나는 것이 아니라, 그림에 얽힌 세계사·신화·기법·미스터리 등 풍성한 뒷이야기를 함께 소개해 재미있게 읽기만 하면 인문학 지식 세계가 확장되는 경험을 할 수 있다.",2,국내도서-예술
23,9788903411130,5321530,스즈키 바이올린 교본 3,"10,800원",600원,편집부 저,세광음악출판사,신이치 스즈키 박사의 원본과 방법을 이용하여 국제 스즈키 바이올린 위원회와의 지속적인 협력에 의해 편찬되었다.피아노 반주책과 음반이 첨부되어 있어 함께 사용하면 더욱 좋다.,1,국내도서-예술
24,9791191600360,103633881,"디자인, 이렇게 하면 되나요?","17,820원",990원,오자와 하야토/구수영/김현미/서영열,제이펍,"한 번 배우면 평생 써먹는 디자인의 기본 실무 감각을 깨워 주는 시각 디자인 입문서 현직 디자이너이거나 디자인을 공부하는 사람이라면, ‘나는 과연 디자인을 얼마나 이해하고 있을까?’라고 스스로 질문해 보자. 센스에 의존해 화려하고 예쁘게 꾸미는 일이 디자인이라고 생각했다면, 지금이라도 자신의 디자인 기본기를 다시 되돌아보고 점검해야 한다. 이 책은 디자인을 막 시작하려고 하는 예비 디자이너 혹은 디자인 기본기가 부족한 주니어 디자이너를 위해 준비했다. 디자인의 기본 이론, 레이아웃, 배색, 사진/도판, 타이포그래피, 제작 인쇄까지 디자이너라면 꼭 알아야 할 노하우를 담고 있으며, 디자인 에이전시를 운영하는 저자의 다양한 실제 디자인 사례를 바탕으로 설명하고 있어, 새로운 디자인 아이디어를 얻는 데도 십분 활용할 수 있다.",1,국내도서-예술
25,9788901248882,98983458,"우연히, 웨스 앤더슨","26,100원","1,450원",월리 코발 /김희진,웅진지식하우스,"웨스 앤더슨 월드로 안내하는 초감각 렌즈이자 단 하나의 초대장 오감 충족 대리 만족 방구석 세계 여행 아카이빙 대작전! “전 세계에서 가장 뜨거운 인스타그램 트렌드”로 주목받는 @AccidentallyWesAnderson 계정의 내용을 엮은 책이 출간되었다. 월리 코발 저자가 우연히도 웨스 앤더슨의 영화와 비슷해 보이는 장소의 사진을 보고 영감을 얻어 만든 채널로, 코로나 이슈로 여행이 힘들어진 사람들에게 대리 만족과 흥미로운 참여를 유도해 현재 140만 팔로어를 넘어 일주일에 만 명 이상씩 실시간으로 늘고 있다. 웨스 앤더슨 감독의 작품에는 한눈에 알아볼 수 있는 색감과 미학이 있다. 그의 감수성은 다양한 장르의 예술과 디자인, 인테리어 등에 영향을 끼쳤다. 특히 이 책은 웨스 앤더슨 터치를 전 세계에서 발견하도록 이끄는 유일한 프로젝트이자 여행 초대장이다.",1,국내도서-예술
26,9791157803248,102801291,악보를 몰라도 숫자만 알면 칼림바,"10,800원",600원,조이 칼림바,(주)태림스코어,"유튜브 ‘JOY Kalimba School 칼림바 연주와 배우기’ 운영자이자 위키위키 앰버서더 연주자 조이 칼림바의 전곡 다장조 연주곡집! 전곡 모범 연주 영상 및 연습용 MR(멜로디, 반주) 수록!! 반음 없는 편곡과 전곡 다장조로 되어 있어 모든 곡에 조율이 필요 없고, 손의 동선을 고려한 편곡으로 연주 시 손 모양이나 손가락 이동이 편리하게 하였다. 음악을 잘 모르거나 악보를 볼 줄 몰라도 숫자 악보와 모범 연주 영상을 통해 쉽게 따라할 수 있으며, 칼림바를 배우고 연주하며 궁금했던 내용들을 Q&A 형식으로 실어 실전에 도움이 되도록 하였다. 또한, 멜로디와 반주를 색깔로 구분하였고, QR코드를 통해 멜로디와 반주 파트를 구분한 연습용 MR 음원을 들으며 멜로디 혹은 반주를 연습할 수 있게 하였다. 각 곡마다 난이도를 표시하여 수준에 맞게 골라서 연습할 수 있으며, 더 높은 수준을 원하는 독자들을 위해 크로매틱 칼림바 곡도 특별 수록하였다.",1,국내도서-예술
27,9791163981237,72351212,시크릿 캐릭터 드로잉,"16,200원",900원,타코,레진코믹스,"독자가 직접 질문하고, 작가가 그림으로 대답해준 실제로 도움이 되고 어려움을 해결해주는 그리기 비법! 그동안의 드로잉북은 전문가가 내용을 구상하고 집필했다면, 『시크릿 캐릭터 드로잉』은 독자와 쌍방향 커뮤니케이션으로 실제 도움이 되고 그리기 어려운 점을 해결해주는 비법으로 엮은 차별적이고 특색 있는 드로잉북이다. 레진코믹스에서 독자들에게 직접 질문을 받아서 다음 화에 가르쳐주는 방식으로 연재한 만큼, 직관적으로 알기 쉽게 비법을 전수한다. 연재 직후부터 웹툰 작가 지망생부터 초중고 미술 실기를 공부하는 학생들의 온라인 모임에서 “똥손을 금손으로 만들어주는 꿀팁.” “선생님도 얘기 안 해줬던 방법.” “매일 그리고 싶게 만드는 강의.”등으로 유명했다. 뿐만 아니라, 초심자도 쉽게 펜을 움직일 수 있도록 기본기를 설명하는 배려도 가득 담겨 있다.",1,국내도서-예술
28,9788986377453,6960553,아티스트 웨이,"15,300원",850원,줄리아 캐머런,경당,세계 수백만 독자들의 창조성을 일깨우고 삶을 변화시킨 이 시대 최고의 멘토 북 자기 내면의 예술적 창조성을 발견하고 자신이 상상했던 삶을 살아가도록 안내해주는 책 『아티스트 웨이』는 이혼의 아픔과 알코올 중독을 극복하며 다재다능한 아티스트로 거듭난 줄리아 카메론이 과거의 자기처럼 어려움에 빠진 아티스트들에게 도움을 주고자 시작한 창조성 회복 프로그램의 강의노트에서 비롯되었다. 매일매일 ‘모닝 페이지’에 내면의 소리를 적어나가거나 잠시 밖으로 나가 자기만을 위한 ‘아티스트 데이트’를 즐기는 등 지극히 단순한 실천에서 시작하는 12주간의 창조성 워크숍을 통해 화가·작가·음악가·연예인·가정주부·변호사·비즈니스맨·학생에 이르기까지 다양한 직업의 사람들이 창조적 활동을 일상적으로 수행할 수 있게 되었다.,1,국내도서-자기계발
29,9788932624723,3385110,포인트 간추린 체르니 100,"4,500원",250원,편집부 편,삼호뮤직(삼호출판사),"너무 많은 체르니 교재, 고민 없이 ‘포인트 간추린 체르니’를 선택하세요! 체르니 100 연습곡은 원래 총 100곡으로 이루어져 있지만, 『포인트 간추린 체르니 100』은 100곡 중 꼭 필요한 필수곡 30곡을 추린 피아노 연습곡집이다. 곡마다 연습 포인트가 수록되어 연습하고자 하는 목표를 바르게 설정할 수 있어 피아노의 기초를 연습하는 데에 큰 도움이 된다. 컬러로 된 심플한 디자인과 큰 악보는 가독성을 높여주어 악보를 더욱더 쉽게 읽을 수 있다. 무수히 많은 체르니 교본으로 고민이 들 때는, 포인트 간추린 체르니와 함께 멋진 테크닉을 완성해보자.",1,국내도서-예술
