순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9791104911514,38001978,옷소매 붉은 끝동 1,"10,800원",600원,강미강,청어람,"조선의 개혁군주. 남들에게도, 스스로에게도 엄격했던 왕. 그리고, 왕이 평생 동안 마음에 품은 단 한 여인. 왕은 궁녀를 사랑했다. 그러나 군왕의 삶은 삭막했고 사내에 앞서 임금이기를 선택했다. 필연적으로 베푼 만큼 앗아갔다. 주는 것보다 받는 것을 당연하게 여겼다. 세상은 여자들을 한 줄로 세워놓고 누가 제일 총애 받았나 따지면서도, 그 여자들은 과연 임금을 사랑했을지는 의문을 삼지 않았다. 덕분에 심사가 꼬인 궁녀는 무엄하게도 거절하였다. 그러자 보잘 것 없던 인생이 송두리째 흔들렸다. 왕으로 살고자 했던 남자. 그 누구보다 스스로에게 엄격했던 왕. 왕의 사랑을 받는 것은 꿈에도 생각해 본 적 없는 여자. 벗과 자유를 사랑했던 여인. 그들은 결국 서로를 마음에 담는다.",3,국내도서-소설/시/희곡
12,9788936434267,37300128,아몬드,"10,800원",600원,손원평,창비,"'감정을 느끼지 못하는' 소년의 특별한 성장 이야기. 타인의 감정에 무감각해진 '공감 불능'인 이 시대에 큰 울림을 주는 소설로, 작품 속 인물들이 타인과 관계 맺고 슬픔에 공감하며 성장해 나가는 과정을 탁월하게 묘사했다. 『완득이』, 『위저드 베이커리』를 잇는 제10회 창비청소년문학상 수상작.",1,국내도서-소설/시/희곡
13,9791104911521,38002046,옷소매 붉은 끝동 2,"9,900원",550원,강미강,청어람,"조선의 개혁군주. 남들에게도, 스스로에게도 엄격했던 왕. 그리고, 왕이 평생 동안 마음에 품은 단 한 여인. 왕은 궁녀를 사랑했다. 그러나 군왕의 삶은 삭막했고 사내에 앞서 임금이기를 선택했다. 필연적으로 베푼 만큼 앗아갔다. 주는 것보다 받는 것을 당연하게 여겼다. 세상은 여자들을 한 줄로 세워놓고 누가 제일 총애 받았나 따지면서도, 그 여자들은 과연 임금을 사랑했을지는 의문을 삼지 않았다. 덕분에 심사가 꼬인 궁녀는 무엄하게도 거절하였다. 그러자 보잘 것 없던 인생이 송두리째 흔들렸다. 왕으로 살고자 했던 남자. 그 누구보다 스스로에게 엄격했던 왕. 왕의 사랑을 받는 것은 꿈에도 생각해 본 적 없는 여자. 벗과 자유를 사랑했던 여인. 그들은 결국 서로를 마음에 담는다.",1,국내도서-소설/시/희곡
14,9788937461033,1387488,인간 실격,"8,100원",450원,다자이 오사무,민음사,"인간의 나약함을 탁월하게 묘사하는 다자이 오사무의 작품을 새롭게 읽는다. 순수하고 여린 심성의 젊은이가 인간 사회의 위선과 잔혹성을 견디지 못하고 파멸되어 가는 과정을 그린 소설로, 어느 세계에도 속하지 못한 채 인간 실격자로 전락한 주인공의 내면을 치밀한 심리묘사로 기록하였다. 다자이 작품 속의 타락과 자기파괴적 언행은 기존사회에 속한 모든 것을 거부하고 새로이 시작하고자 하는 전후 사회 일본 젊은이들의 의식을 반영하고 있다.",1,국내도서-소설/시/희곡
15,9788954681179,102687133,밝은 밤,"13,050원",720원,최은영,문학동네,"백 년의 시간을 감싸안으며 이어지는 사랑과 숨의 기록 『쇼코의 미소』 『내게 무해한 사람』 최은영 첫 장편소설 공감을 불러일으키는 이야기와 서정적이며 사려 깊은 문장, 그리고 그 안에 자리한 뜨거운 문제의식으로 등단 이후 줄곧 폭넓은 독자의 지지와 문학적 조명을 두루 받고 있는 작가 최은영의 첫 장편소설. ‘문화계 프로가 뽑은 차세대 주목할 작가’(동아일보) ‘2016, 2018 소설가들이 뽑은 올해의 소설’(교보문고 주관) ‘독자들이 뽑은 한국문학의 미래가 될 젊은 작가’(예스24) 등 차세대 한국소설을 이끌 작가를 논할 때면 분야를 막론하고 많은 사람들의 머릿속에 가장 선명히 떠오르며 활발한 작품활동을 이어가던 최은영 작가는 2019년, 예정돼 있던 소설 작업을 중단한 채 한차례 숨을 고르며 멈춰 선다.",1,국내도서-소설/시/희곡
16,9788954682152,103495056,작별하지 않는다,"12,600원",700원,한강,문학동네,"무엇을 생각하면 견딜 수 있나. 가슴에 활활 일어나는 불이 없다면. 기어이 돌아가 껴안을 네가 없다면. 이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터 꿈처럼 스며오는 지극한 사랑의 기억 2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설. 2019년 겨울부터 이듬해 봄까지 계간 [문학동네]에 전반부를 연재하며 큰 관심을 모은 작품으로, 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017)을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 도달한 눈부신 현재를 보여준다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다.",1,국내도서-소설/시/희곡
17,9791191824001,103026125,지구 끝의 온실,"13,500원",750원,김초엽,자이언트북스,"김초엽 첫 장편소설, 모두가 간절히 기다려온 이야기 이미 폭넓은 독자층을 형성하며 열렬한 사랑을 받고 있는 김초엽 작가는 더스트로 멸망한 이후의 세계를 첫 장편소설의 무대로 삼았다. 그는 지난해 말 플랫폼 연재를 통해 발표한 이야기를 반년이 훌쩍 넘는 시간 동안 수정하면서 한층 더 무르익도록 만들었다. 그리하여 장 구성부터 세부적인 장면은 물론 문장들까지 완전히 새롭게 탄생한 『지구 끝의 온실』이 2021년 8월 드디어 독자들을 만난다. 『지구 끝의 온실』은 자이언트북스의 네 번째 도서이다. 김중혁의 첫 시리즈 소설 『내일은 초인간』, 배명훈 장편소설 『빙글빙글 우주군』, 그리고 한국문학의 빛나는 일곱 명의 작가가 ‘즐거움’을 키워드로 쓴 단편소설을 묶은 앤솔로지 『놀이터는 24시』까지, 작가들의 자유로운 상상력을 응원하며 가장 그다운 작품을 선보일 수 있도록 해온 자이언트북스는 이번 주인공으로 김초엽의 『지구 끝의 온실』을 출간하였다.",1,국내도서-소설/시/희곡
18,9791157280292,24259730,꽃을 보듯 너를 본다,"9,000원",500원,나태주,지혜,"시인 나태주의 시 가운데 인터넷의 블로그나 트위터에서 자주 오르내리는 시들을 모아 엮은 책이다. ""이 시집은 나의 시 가운데에서 인터넷의 블로그나 트위터에 자주 오르내리는 시들만 모은 책입니다. 그러니까 나의 책이긴 하되 독자들의 의견을 충분히 들어서 만든 책이라 하겠습니다. 나는 한 사람 시인의 대표작을 시인 자신이 정하는 것이 아니라 독자들이 정하는 것이라고 믿는 사람입니다. 그만큼 독자의 힘은 크고 막강하다. 그런 의미에서 이 시집은 나에게 특별한 느낌을 주는 책입니다. 독자들이 고른 시들만 모은 책이니 독자들이 보다 많이 사랑해주었으면 좋겠다는 생각을 더불어 가져 봅니다. 말기의 이 행성인 지구에서 또다시 종이를 없애며 책을 내는 행위가 나무들한테 햇빛한테 미안한 생각이 듭니다. 잠시 다 같이의 안녕을 빕니다.""",1,국내도서-소설/시/희곡
19,9791167790187,105119397,이방인 1,"12,600원",700원,선명,YOUNGCOM(영컴),"“탈래? 갈 데 없으면.” 불행한 소년과 그의 삶을 주워간 한 남자 길거리 소매치기 생활을 하던 지호는 자신이 머물던 시설에서 나와 정처 없이 밤거리를 거닌다. 수많은 빌딩이 늘어섰지만 지금 당장 몸을 누일 곳 하나 없는 지호는 자신의 처지를 비관한다. 이곳에 존재하지만 존재하지 않는 것 같은, 이 세상에 속하지 못한 기분. ""왜 살아야 할까"" 간간이 지나가는 차를 보며 이왕이면 비싼 차에 치여 죽으면 좋겠다는 생각을 하던 그때, 차 한 대가 멈춰 섰다. “탈래? 갈 데 없으면.” 불행으로 가득했던 지호의 삶을 주워간 한 남자. 대가 없는 선의는 없다고 생각했다. 연우정을 만나기 전까진.",1,국내도서-소설/시/희곡
20,9791191043419,103861082,소문,"14,850원",820원,오기와라 히로시/권일영,모모,"“마지막 4글자에 모든 것이 뒤바뀐다!” 일본 미스터리 역사상 최고의 반전이라는 입소문이 그 자체로 진실이 된 바로 그 소설, 『소문』 복간! 새로 런칭하는 향수 홍보를 위해 거짓 소문이 퍼진다. ‘한밤중 시부야에 뉴욕에서 온 살인마 레인맨이 나타나서 소녀들을 죽이고 발목을 잘라 가는데, 뮈리엘 로즈를 뿌리면 괜찮다’라고 하는 도시전설과 같은 소문. 이 소문은 여고생들의 입을 타고 시부야를 중심으로 퍼져나가며 향수는 선풍적인 인기를 끌고 입소문 전략은 대성공을 거둔다. 그런데 소문이 현실이 되어 발목이 잘린 소녀의 시체가 하나둘 발견되는데…. 2009년 국내에 처음 출간된 후 미스터리 독자들 사이에서 최고의 반전 소설으로 꼽혔던 오기와라 히로시의 서스펜스 스릴러 『소문』이 새롭게 태어났다. 『소문』의 일본판 띠지 앞면에는 이렇게 적혀 있다. “헉 소리가 나는 충격적인 마지막 한 줄.”",1,국내도서-소설/시/희곡
21,9788983928450,104647324,해리 포터와 비밀의 방 : 미나리마 에디션,"29,700원","1,650원",J.K. 롤링/강동혁/미나리마,문학수첩,"[해리 포터]의 그래픽디자이너 ‘미나리마’가 만든 마법 세계가 다시 열린다! 해리 포터 두 번째 이야기, 『비밀의 방 : 미나리마 에디션』 전 세계 동시 출간! 영화 [해리 포터]와 [신비한 동물사전] 시리즈에서 비주얼 그래픽을 담당했던 스튜디오 ‘미나리마(MinaLima)’가 직접 디자인한 『해리 포터와 비밀의 방: 미나리마 에디션』을 들고 독자들을 다시 찾았다. J.K. 롤링이 만들어 낸 마법 세계를 더욱 돋보여 줄 컬러 삽화와 기발한 종이 공예로 가득한 이 책은 해리 포터 팬들에게 특별한 기념품이 될 것이다. 이 책에는 J.K. 롤링의 이야기가 완벽하게 담겨 있을 뿐만 아니라, 거의 모든 페이지에 컬러 삽화가 들어 있으며, 8가지 기발한 입체 종이 공작 요소가 실려 있다. 이번 에디션에서도 독자들은 위즐리 가족의 집 ‘버로’를 탐험하고, 플루 가루를 통해 마법사들의 벽난로를 직접 옮겨 다니고, 화분에서 맨드레이크를 끄집어내는 체험도 해볼 수 있다.",1,국내도서-소설/시/희곡
22,9788960907003,104722726,행성어 서점,"13,050원",720원,김초엽/최인호,마음산책,"“내가 당신을 한 번만 안아봐도 될까요?” 한국 SF문학의 새로운 지평을 연 김초엽 신작 짧은 소설집 열네 편의 낯설고도 감각적인 이야기 [마음산책 짧은 소설] 열두 번째 작품은 한국 SF문학의 새로운 지평을 연 소설가 김초엽의 『행성어 서점』이다. 그는 “산뜻한 이야기의 마을”에서 수집해온 열네 편의 이야기를 진진하게 펼쳐간다. 우리가 발 딛고 선 현실에서 출발하는 작품들은 장애와 혐오, 이종(異種)간의 갈등과 공존, 환경 파괴 같은 동시대적인 문제의식을 안은 채 우주적 세계로 향한다.",1,국내도서-소설/시/희곡
23,9788936438609,104721426,나인,"13,500원",750원,천선란,창비,"“어느 날, 식물들의 목소리가 들리기 시작했다.” 독보적 상상력, 폭발하는 스토리텔링! 『천 개의 파랑』 천선란 신작 장편소설 재미와 감동을 전 세대에 전하는 [소설Y] 시리즈가 새로운 K-영어덜트의 세계를 펼쳐 보인다. 한국형 영어덜트 소설의 지평을 넓히는 이번 시리즈의 두 번째 권으로 제4회 한국과학문학상 대상을 수상한 천선란 작가의 신작 장편소설 『나인』이 출간되었다. 이 소설은 평범한 고등학생 ‘나인’이 어느 날 식물들의 목소리를 듣기 시작하면서 펼쳐지는 이야기다. 숲의 속삭임을 따라 우연히 2년 전 실종 사건의 전말을 알게 된 나인은 친구 미래, 현재, 승택과 함께 숨겨진 진실을 파헤치기 시작한다. 사소한 것도 지나치지 않는 나인과 친구들의 모습은 우리가 어떤 목소리에 귀 기울여야 하는지를 깊이 성찰하게 한다. 흡인력 있는 스토리 전개와 참신한 상상력, 속도감 넘치는 서스펜스를 모두 갖춘 이 특별한 소설은 천선란 작가의 찬란한 성취로 기억될 작품이다.",1,국내도서-소설/시/희곡
24,9791190382267,92462696,마음챙김의 시,"11,700원",650원,류시화,수오서재,"“날개를 주웠다, 내 날개였다.” 시를 읽는 것은 자기 자신으로 돌아오는 것이고, 세상을 경이롭게 여기는 것이며, 여러 색의 감정을 경험하는 것이다. 살아온 날들이 살아갈 날들에게 묻는다. ‘마음챙김의 삶을 살고 있는가, 마음놓침의 시간을 보내고 있는가?’ 사회적 거리두기와 삶에 대한 성찰이 어느 때보다 필요한 지금, 손 대신 시를 건네는 것은 어떤가. 멕시코의 복화술사, 영국 선원의 선원장, 기원전 1세기의 랍비와 수피의 시인뿐 아니라 파블로 네루다와 비스와바 쉼보르스카 같은 노벨 문학상 수상 시인, 페이스북과 인스타그램의 신세대 시인들, 그리고 라다크 사원 벽에 시를 적은 무명씨. 고대와 중세와 현대의 시인들이 나와 타인에 대한 운율 깃든 성찰로 독자를 초대한다. 아름다운 시들을 모았다고 해서 좋은 시집이 되지는 않는다. 진실한 깨달음이 시의 문을 여는 순간이 있다.",1,국내도서-소설/시/희곡
25,9788983928207,93961564,해리 포터와 마법사의 돌 : 미나리마 에디션,"29,700원","1,650원",J.K. 롤링/강동혁/미나리마,문학수첩,"『해리 포터와 마법사의 돌: 미나리마 에디션』 전 세계 동시 출간! 〈해리 포터〉 시리즈의 그래픽디자이너 ‘미나리마’의 손으로 새롭게 탄생한 마법 세계! 컬러 일러스트레이션과 흥미진진한 3D입체물이 가득한 색다른 『해리 포터』 영화 〈해리 포터〉와 〈신비한 동물사전〉 시리즈에서 비주얼 그래픽을 담당했던 스튜디오 ‘미나리마(MinaLima)’가 직접 디자인한 『해리 포터와 마법사의 돌: 미나리마 에디션』이 출간되었다. J.K. 롤링이 만들어 낸 마법 세계를 더욱 돋보여 줄 컬러 삽화와 기발한 종이 공예로 가득한 이 책은 해리 포터 팬들에게 특별한 기념품이 될 것이다. 이 책에는 J.K. 롤링의 이야기가 완벽하게 담겨 있을 뿐만 아니라, 거의 모든 페이지에 컬러 삽화가 들어 있으며, 8가지 기발한 입체 종이 공작 요소가 실려 있다.",1,국내도서-소설/시/희곡
26,9791190885928,103152391,백조와 박쥐,"16,200원",900원,히가시노 게이고/양윤옥,현대문학,"‘죄와 벌의 문제는 누가 재단할 수 있는가’ 히가시노 게이고 작가 데뷔 35주년 기념작품 전 세계 베스트셀러 『나미야 잡화점의 기적』 작가이자, 현존하는 일본 추리소설계 최고의 거장으로 손꼽히는 히가시노 게이고의 장편소설 『백조와 박쥐』가 출간되었다. 데뷔 35주년을 맞아 2021년 4월에 발표한 이 소설은 한국어판 기준 총 568쪽, 원고지 2천 매가 넘는 대작으로, 2007년부터 15년 가까이 히가시노의 주요 작품들을 우리말로 옮겨온 일본 문학 전문 번역가 양윤옥이 번역을 맡았다. 35주년 기념작 『백조와 박쥐』는 히가시노가 자신의 추리소설 본령으로 돌아가서 더욱 원숙해진 기량으로 써낸 새로운 대표작이라는 찬사를 받고 있다. 두툼한 분량에도 하루 이틀 만에 독파했다는 현지 독자들의 앞선 리뷰가 증명하듯이, 소설은 33년의 시간차를 두고 일어난 두 개의 살인 사건과, 이에 얽히는 인물들이 저마다 진실을 좇아가는 장대한 이야기를 탄탄한 틀 안에서 흡인력 있게 풀어낸다.",1,국내도서-소설/시/희곡
27,9791190090018,74261416,우리가 빛의 속도로 갈 수 없다면,"12,600원",700원,김초엽,허블,"지난겨울까지 바이오센서를 만드는 과학도였던 김초엽 작가는, 이제 소설을 쓴다. 「관내분실」로 한국과학문학상 중단편부문 대상을 받았다. 필명으로 낸 「우리가 빛의 속도로 갈 수 없다면」도 동시에 상을 받았다. ‘한국 SF의 우아한 계보’라 불리며 작품 활동을 시작한 김초엽 작가는 그 후, 더욱 도약했다. 자신만이 그려낼 수 있는 김초엽 특유의 작품세계를 보여주었다. 투명하고 아름답지만 순진하지만은 않은, 어디에도 없는 그러나 어딘가에 있을 것 같은, 근사한 세계를 손에 잡힐 듯 이야기에 담아냈다.",1,국내도서-소설/시/희곡
28,9788972756194,8157957,나미야 잡화점의 기적,"13,320원",740원,히가시노 게이고/양윤옥,현대문학,"지난 10년간 한국에서 가장 많이 팔린 소설이자 히가시노 게이고의 대표작. 30여 년째 비어 있는 폐가, ‘나미야 잡화점’에 숨어든 삼인조 좀도둑이 뜻밖에도 과거로부터 도착한 고민 상담 편지에 답장을 하면서 겪게 되는 기묘한 하룻밤의 이야기를 그린다. 작가는 시공간을 넘나드는 편지라는 설정을 단순한 판타지가 아닌 추리적인 향기와 깊이가 담긴 소재로 승화시킨다.",1,국내도서-소설/시/희곡
