순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9788936477196,76470464,선량한 차별주의자,"13,500원",750원,김지혜,창비,"선량한 차별주의자들의 세상에서 평등을 외치는 당신을 위한 안내서 혐오와 차별은 잡초처럼 자란다. 조금만 신경 쓰지 않으면 온 사회에 무성해진다. 사람들은 때로 아주 작은 차별은 무시해도 되고, 심지어 다수에게 유리한 차별은 합리적인 차등이라고 이야기하며, 차별에 대한 문제제기나 시정조치를 역차별이라고 공격하기도 한다. 이런 말을 하는 사람들은 심각한 혐오주의자나 차별주의자가 아니다. 바로 나, 당신, 우리일 수 있다. 『선량한 차별주의자』는 평범한 우리 모두가 ‘선량한 차별주의자’일 수 있다고 말하는 도발적인 책이다. 저자인 김지혜 교수(강릉원주대 다문화학과)는 차별의 사각지대에 놓인 이들을 직접 찾아가는 현장활동가이자, 통계학·사회복지학·법학을 넘나드는 통합적인 시각을 바탕으로 국내의 열악한 혐오·차별 문제의 이론적 토대를 구축하는 데 전념해온 연구자다. 현장과 밀착한 인권·혐오문제 연구를 진행해온 연구자답게 이번 책에서 쉽고 재미있는 대중적 글쓰기를 선보인다.",1,국내도서-사회 정치
12,9791164251056,105031247,대한민국 교육트렌드 2022,"25,200원","1,400원",교육트렌드2022 집필팀,에듀니티,"2022년은 교육계에도 큰 변화가 예상된다. 3월 대통령 선거, 6월 지방선거와 교육감 선거, 7월 국가교육위원회 출범이 예정돼 있고 그 결과에 따라 교육 현장은 큰 변화를 겪을 수밖에 없다. 국가교육위원회는 제대로 출범할 수 있을까? 교육부와 시도교육청은 권한과 책임을 잘 나눌 수 있을까? 교육자치는 순항할 수 있을까? 고교학점제는 실행할 수 있을까? 코로나 이후의 학교는 예전과 어떻게 달라질까? 더욱 확대된 교육격차는 해소 가능한가? 등 수많은 교육계 현안에 대한 명확한 답을 모두가 찾지만 아무도 모르는 상황이다. 지난 3월, 18명의 교육전문가가 모여 2022년 교육 현장에 가장 영향을 미칠 20개의 주제를 선정했다. ‘대한민국 교육트렌드 2022’는 이 20가지 이슈의 배경을 분석하고 관련 쟁점을 정리했다. 또한 그 이슈들이 교육계에 어떤 영향을 미칠 것인지 전망해 이해관계자들이 예측하고 준비할 수 있도록 했다.",1,국내도서-사회 정치
13,9791164711543,104720161,질문 빈곤 사회,"16,200원",900원,강남순,행성B,"‘왜?’라는 물음표를 허용할 때, 진보와 변화가 시작된다 정치·철학·종교·인권 등 다양한 인문학 영역에서 연구해온 강남순 교수가 ‘질문’을 통해 한국 사회를 성찰하고 독자들을 사유의 세계로 초대한다. 변화는 어떻게 시작되는가? 정의와 대안은 어디에서 출발하는가? 그것은 바로 “왜?”라는 ‘질문’이다. 질문을 통해서 우리는 사실과 진실, 보이지 않는 사람들의 목소리, 정의와 대안을 만나고 찾아낸다. 하지만 한국은 다양한 영역에서 “예”를 미덕으로 간주하는 ‘질문 빈곤 사회’다. 이 책은 선동하는 정치, 공정하지 않은 언론, 혐오로 가려진 인권, 잘못된 관행, 권력과 연합한 종교를 향해 뜨겁게 질문한다. 그리고 나와 내가 속한 세계를 바꿀 ‘좋은’ 질문을 탐구한다. 또한 무의미한 질문, 잘못된 전제에서 출발하는 ‘나쁜 질문’의 위험성을 짚어보면서 ‘좋은 질문’하기를 함께 그리고 따로따로 배우고 연습하고자 초대한다.",1,국내도서-사회 정치
14,9788960518612,101322513,지구를 위한다는 착각,"19,800원","1,100원",마이클 셸런버거 /노정태,부키,"당신이 안다고 믿는 환경주의는 과연 옳은가? 타임 선정 “환경 영웅”이 “환경 종말론”에 던지는 충격적 이의 제기! “환경 구루” “기후 구루” “환경 휴머니즘 운동의 대제사장”으로 불리는 세계적인 환경, 에너지, 안전 전문가 마이클 셸런버거가 30년간의 현장 활동과 연구, 고민과 열정, 대안과 해법을 총결산해 선보이는 문제작이다. 이 책은 기후 변화를 둘러싼 논란, 특히 최근 만연하고 있는 종말론적 환경주의에 강력한 의문을 제기함으로써 환경 운동 진영과 과학계뿐 아니라 언론과 일반 대중에게까지 큰 파장과 충격을 불러일으키며 베스트셀러에 올랐다. 이 책에서 우리는 “얼음이 녹아 북극곰이 굶어 죽어 가고 있다” “아마존이 곧 불타 사라질 위기에 처해 있다” “그린피스가 고래를 구했다” 같은 익숙한 통념과 정반대되는 과학적 근거와 사실을 마주하게 된다.",1,국내도서-사회 정치
15,9791187038030,24937700,왜 세계의 절반은 굶주리는가?,"11,520원",640원,장 지글러/유영미,갈라파고스,"120억의 인구가 먹고도 남을 만큼의 식량이 생산되는데 왜 하루에 10만 명이, 5초에 한 명의 어린이가 굶주림으로 죽어가는가? 이런 불합리하고 살인적인 세계질서는 어떠한 사정에서 등장하는 것일까? 그 책임은 누구에게 있을까? 학교에서도 언론에서도 아무도 알려주지 않은 기아의 진실! 이 시대의 실천적 지식인 장 지글러는 빈곤과 사회구조 사이의 관계에 대해 엄밀하지만 결코 인도적 관점을 잃지 않는 글로 주목을 받아왔다. 세계 곳곳에서 기아를 극복하기 위해 온힘을 쏟고 있는 장 지글러는 불평등한 구조를 뛰어넘어 인류가 연대하고 서로 돕는 구조를 만들기를 희망한다. 그런 간절한 염원이 담겨 있는 이 책은 한국의 여러 기관과 단체에서 추천하고 소개하여 많은 독자들에게 읽히고 있다. 한국의 많은 독자들은 이 책을 통해 혹독한 기아의 참상을 알게 되었고, 저자의 따뜻한 인류애에 공감하였다.",1,국내도서-사회 정치
16,9788962630619,6140639,침묵의 봄,"16,200원",900원,레이첼 카슨/김은령/홍욱희,에코리브르,"20세기에 가장 큰 영향력을 미친 책으로 일컬어지는 침묵의 봄의 개정판이다. 무분별한 살충제 사용으로 파괴되는 야생 생물계의 모습을 적나라하게 공개해 큰 충격을 줬던 이 책은 언론의 비난과 이 책의 출판을 막으려는 화학업계의 거센 방해에도 카슨은 환경 문제에 대한 새로운 대중적 인식을 이끌어내며 정부의 정책 변화와 현대적인 환경운동을 촉발시키기도 했다. 서문과 후기가 완전히 새롭게 단장되었으며, 2002년 출간본에는 없던(원서에도 없었음) 찾아보기를 새롭게 추가했다. 그리고 편집과 장정도 바뀌어서 출간되었다.",1,국내도서-사회 정치
17,9791157845286,102743883,눈 떠보니 선진국,"14,850원",820원,박태웅,한빛비즈,"폭발적 양적 성장 이후, 진정한 선진국이 되기 위한 조건 BTS는 한국어로 부른 노래로 빌보드 1위를 거뜬히 해낸다. 봉준호 감독은 “아카데미는 로컬이잖아”라고 말하며 천연덕스럽게 감독상과 작품상을 포함해 4개의 아카데미 트로피를 거머쥐었다. K-방역은 세계를 선도한다. 바이든을 비롯해 선진국의 많은 지도자들이 한국을 본받자고 목소리를 높인다. 한국의 경제규모(GDP 기준)는 세계 9위로 올라섰고, 우리 앞에는 이제 여덟 나라밖에 없다. 그래서 우리는 선진국이 된 것일까? 선진국이 될 때까지 한국은 지독하게 달려왔다. 바람처럼 내달린 몸이 뒤쫓아오는 영혼을 기다려줄 때다. 해결해야 할 ‘문화지체’들이 언덕을 이루고 있다.",1,국내도서-사회 정치
18,9791185473925,104804187,에코 미니멀 살림 연습,"14,850원",820원,양순아,레시피팩토리(단행),"쇼핑을 즐기고 아무것도 버리지 못했던 극강의 맥시멀리스트가 미니멀 + 제로 웨이스트 라이프를 만나 에코 미니멀 살림꾼이 되기까지! 첫 시작은 옷 때문이었다. 많은데 입을 게 없었다. 옷장 앞에서 시간 끌며 툴툴대던 저자에게 남편은 안 입는 옷들을 좀 버리면 어떠냐고 했다. 입던 안 입던 멀쩡한 옷을 버리면 큰일 나는 줄 알았다. 언젠가 입을 수도 있지 않은가! 하지만 눈 딱 감고 과감하게 ‘비움과 정리’을 했다. 그랬더니 신기한 일이 일어났다. 옷 고르는 시간이 확 줄었고, 오히려 입을 옷이 많아진 것 같았다. 잘 몰랐던 내 취향도 알게 되었고, 무엇보다 옷장 안에 생긴 여백으로 마음까지 한결 여유로워졌다. 이렇게 출발한 ‘비움과 정리’는 옷장에서 주방으로, 거실과 방으로, 욕실로 이어졌다. 매일 치워도 어지럽기만 했던 공간들이 하나둘 달라졌다. 집은 심플하고 단정하게 변해갔다. 설레는 경험이었다. 그런데 더 미니멀해지기 위해서는 더 많은 물건들을 버려야 했다.",1,국내도서-가정 살림
19,9791167140111,104408066,우리에겐 절망할 권리가 없다,"14,850원",820원,김누리,해냄,"왜 우리는 점점 더 사회적 지옥을 향해 가고 있는가 환멸의 시대를 넘어, 이제 거대한 전환을 감행하자! 한국 사회를 지배해 온 기만의 장막을 벗기고 개혁의 청사진을 제시하는 책! 통렬한 성찰로 우리 사회의 민낯을 직시하며 우리가 나아갈 길에 천착해 온 중앙대학교 독문과 김누리 교수가 정치사회 비평집을 출간한다. 2013년부터 2020년까지 [한겨레] ‘세상읽기’에 연재한 칼럼들과 기고문들을 정리한 이 책은 단순한 칼럼집을 넘어, 지난 7년간 급변해 온 대한민국 정치, 사회의 씁쓸한 풍경과 궤적을 고스란히 담은 역사의 기록물이기도 하다. JTBC [차이나는 클라스]의 세 차례 강의와 베스트셀러『우리의 불행은 당연하지 않습니다』를 통해 큰 반향을 불러일으킨 바 있는 그는, 우리 사회의 근원적 모순과 병폐들을 복기하고 대안을 제시함으로써 다시 한 번 ‘거대한 전환’을 촉구하고자 한다.",1,국내도서-사회 정치
20,9791156625599,103450165,인간 이재명,"14,850원",820원,김민정·김현정,아시아,"출생에서부터 지금에 이르기까지, 인간 이재명의 모든 것 정밀한 취재와 조사, 인터뷰를 통해 완성된 이재명 서사의 정본 『인간 이재명』은 이재명의 출생부터 소년공 시절, 변호사, 성남시장, 경기도지사 그리고 유력 대권 후보가 되기까지 그가 마주한 삶의 중요한 순간들을 한 권의 책으로 기록한 ‘이재명 서사의 정본(定本)’이다. 한 인간으로서 이재명의 삶을 총체적으로 보여주는 최초의 텍스트이자 언론에 의해 왜곡된 ‘사실과 진실’에 대한 검증의 결과물이기도 하다. 이재명은 신화가 되기에 충분한 서사를 가진 인물이었다. 최악의 조건에서 최상의 도전을 감행하고, 성공해온 그의 서사는 아주 드라마틱하다. 서사의 세부도 매혹적이다. 화전민의 집에서 태어나 열세 살에 소년공이 되었던 그가 사법고시에 합격하고, 공단으로 돌아가 노동자의 벗으로 살다 시장이 되고, 도지사에까지 이르는 과정은 감동적인 에피소드와 사건들로 아로새겨져 있다.",1,국내도서-사회 정치
21,9791186615584,105311064,이재명의 9회 말 끝내기,"15,300원",850원,이동형/김성회/박진영,왕의서재,,1,국내도서-사회 정치
22,9791188073801,103767864,사람이 싫다,"14,400원",800원,손수호,브레인스토어(BRAINstore),"[무한도전], [김현정의 뉴스쇼], [사건반장], [역사저널 그날] 등의 방송, [이스타 TV] 등의 유튜브 채널 등 다수의 매체를 통해 대중에게 잘 알려진 ‘셀럽 변호사’ 손수호가 자신의 10여 년 변호사 생활 중 직간접적으로 경험한 일들을 솔직하게 풀어놓은 법률 에세이 『사람이 싫다』를 펴냈다. 그러나 무겁고 진지한 ‘법학서적’으로 독자들에게 두터운 벽이 생기는 것을 경계라도 한 듯 술술 읽히는 흥미로운 에피소드들이 가득하다.",1,국내도서-사회 정치
23,9788968333347,103664614,달력으로 배우는 지구환경 수업,"13,500원",750원,최원형,블랙피쉬,"“전 세계가 지구를 지키기 위해 연대하는 아주 특별한 날들!” 달력 속 51가지 기념일로 쉽게 시작하는 환경 이야기 우리가 무심히 숫자만 보고 지나치는 달력, 그 안에는 많은 기념일들이 있다. 우리에게 익숙한 ‘식목일’, ‘지구의 날’은 물론이고 ‘사막화 방지의 날’이나 ‘오존층 보호의 날’처럼 경각심을 심어주는 날도, ‘종이 안 쓰는 날’처럼 환경보호 실천을 장려하는 날도 있다. 각각의 기념일은 언제 어떻게 생겨났을까? 전 세계 인류는 왜 달력에 이토록 많은 기념일을 새겨 넣은 걸까? 『달력으로 배우는 지구환경 수업』은 생태·환경·에너지 전문가 최원형의 신작으로, 인문, 역사, 과학적 지식을 넘나드는 다채로운 이야기와 함께 환경 기념일의 기원과 의미를 이해하기 쉽게 소개한다.",1,국내도서-청소년
24,9788970128856,8500082,"총, 균, 쇠","31,500원","1,750원",재레드 다이아몬드/김진준,문학사상,"인종주의적 설명 방식을 뒤집는, 문명 발전에 관한 새로운 보고서 왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 새롭게 개정신판이 출간되었다. 진화생물학자인 재레드 다이아몬드는 총기와 병균과 금속이 역사에 미친 엄청난 영향에 대해 분석한다. 일단 수렵 채집 단계를 넘어서 농경을 하게 된 사회들은 문자와 기술, 정부, 제도뿐만 아니라 사악한 병원균과 강력한 무기들도 개발할 수 있었다. 그러한 사회들은 질병과 무기의 도움으로 다른 민족들을 희생시키며 자신들의 삶의 터전을 새로운 지역으로 확장했다. 지난 500여 년간 유럽인이 자행한 비유럽인 정복은 이러한 과정을 극적으로 보여주는 예다.",1,국내도서-사회 정치
25,9791166817878,102832804,군주론,"6,930원",380원,니콜로 마키아벨리/김운찬,현대지성,"‘움베르토 에코의 제자’ 김운찬 교수의 이탈리아어 원전 완역본 냉엄한 현실에서 리더가 갖춰야 할 처세술과 리더십 하버드대, 옥스퍼드대, MIT, 서울대 필독서! “우리는 마키아벨리에게 큰 빚을 졌다.” _프랜시스 베이컨 필사본이 떠돌 때부터 논란거리였고, 출간 뒤에는 “악마의 사상”이라 비난받으며 교황청 금서로 지정된 책. 하지만 지금은 하버드대, 옥스퍼드대, MIT, 서울대 등 세계 유수 대학의 필독서이면서 『타임』과 『뉴스위크』가 “세계 100대 도서”로 선정한 책. 역사상 『군주론』처럼 극단적으로 엇갈린 평가를 받는 문제작도 드물다. 마키아벨리는 이 책에서 군주가 권력을 얻고 유지하려면 때로는 권모술수를 써야 하며, 사악한 행위도 서슴지 말아야 한다고 주장한다. “결과가 수단을 정당화한다”라고 정리되며 “마키아벨리즘”(Machiavellism)이라는 용어를 낳은 이 사상은, 종교와 윤리를 중시하던 유럽 사회에 큰 충격을 주었다.",1,국내도서-사회 정치
26,9788925556253,91181719,두 번째 지구는 없다,"12,600원",700원,타일러 라쉬/이영란,알에이치코리아(RHK),"“환경을 말하지 않고는 누구도 잘 살 수 없다” ‘언어 천재’ 타일러가 기후위기를 말하는 이유 『두 번째 지구는 없다』는 방송계의 대표적인 ‘언어 천재’, ‘뇌섹남’으로 통하는 타일러 라쉬의 첫 단독 도서이다. 기후위기 해결은 타일러의 오랜 꿈으로, 환경은 그가 오랫동안 품어온 화두다. 타일러는 2016년부터 WWF(세계자연기금) 홍보대사로 활동하며 환경 문제의 심각성을 알려왔다. 『두 번째 지구는 없다』를 통해 타일러는 자연과 단절된 현대인을 ‘빅박스스토어’에 갇힌 채 일평생을 살아온 사람에 비유한다. 인공 시설과 인간이 만든 시스템을 단단하고 영구적인 것처럼 여기며, 인간이 자연의 일부이며 연결되어 있다는 사실을 외면한다는 지적이다. 수도를 열면 물이 쏟아지지만, 그 물이 어디에서 왔는지 궁금해하지 않고, 우리가 숨 쉬는 공기가 어디에서 만들어졌는지 궁금해하지 않는다.",1,국내도서-사회 정치
27,9791185264578,105002905,그렇게 피의자가 된다,"14,400원",800원,김경록,다반,"150시간의 특수부 조사, 재판 이야기와 더불어 조국, 정경심 교수에 대한 검찰과 언론의 만행을 고발하다! 살면서 저에게 언론개혁이나 검찰개혁은 아무런 관심사가 되지 못했습니다. 돈 버는 것 외에는 중요한 것이 없었고 제가 관여할 부분도 아니라고 생각했습니다. 하지만 지난 수개월간 직접 경험해 본 지금 이 순간, 언론개혁과 검찰개혁은 당사자인 저에게도 그리고 우리에게도 정말 중요한 과제임을 절실히 느끼고 있습니다.",1,국내도서-사회 정치
28,9791197559709,104743734,법정의 얼굴들,"15,300원",850원,박주영,모로,"구속, 무죄, 유죄, 선고, 징역, 재판, 형량… 형사법정에 올라온 사건들은 주로 한 단어나 문장으로 정리된다. 법정 밖 사람들에게 형사법정은 유무죄를 가리는 곳에 지나지 않지만, 기사 한 줄과 형량 너머 법정에는 뭉개지고 흐려진 ‘얼굴들’이 존재한다. 『어떤 양형 이유』로 독자를 눈물 흘리게 했던 박주영 판사는 다양한 이유로 형사법정에 오게 된 얼굴들의 서사를 기억하기 위해 코를 끅끅 삼키며 쓰고 또 썼다. 고통과 절망 속에서도 희망을 지었던 그가, 『법정의 얼굴들』에 말과 글로 빚어낸 눈물겨운 위무를 담아냈다.",1,국내도서-사회 정치
29,9791161505299,104861946,선을 넘다,"12,150원",670원,안철수/진중권,시원북스,"2022 대권 도전하는 안철수 국민의당 대표 진중권 전 교수와 대담집 출간 ‘선을 넘다(Go Beyond)’라는 제목처럼 대한민국 혁신 방향 담아 안철수 국민의당 대표와 진중권 전 교수가 ‘선을 넘다(Go Beyond)’라는 제목의 책을 11월 5일 출간한다(시원북스 펴냄). 이념과 정파, 분야를 뛰어넘어 대한민국의 혁신과 성장을 강조해온 두 사람의 ‘선을 넘은’ 만남이다. 안 대표와 진 전 교수는 지난 8월 14일부터 10월 10일까지 네 차례 직접 만나 심도 있는 일대일 대담을 통해 함께 책을 썼다. 책에는 현실 정치에 대한 쓴소리는 물론, 미래 담론에 대한 날카로운 문답이 함께 담겼다. 저자는 2022년이 구체제를 혁파하는 ‘시대 교체’의 원년이 되어야 한다고 강조한다. 안 대표는 ‘닥치고 정권 교체’는 대한민국 미래에 도움이 되지 않는다고 말한다. 정권 교체가 ‘적폐 교대’가 될 수 있다는 얘기다.",1,국내도서-사회 정치
