순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
15,9791196558109,67725815,세계사 최대한 쉽게 설명해 드립니다,"12,420원",690원,만프레트 마이/김태환,이화북스,"독일 최고의 역사 스토리텔러 만프레트 마이가 펴낸 ‘국민 역사책’이다. 최초의 인간부터 유럽 통합으로 가는 길의 갈등과 해법, 새로운 강대국으로 급부상한 중국, 세계의 공통 이슈인 환경 문제까지 다루고 있다. 세계사를 한 권의 책에 압축하면서도 당대의 시대정신과 사회의 과제들을 면밀히 검토하고 분석해 내는 저자의 통찰은 여느 역사책에서는 찾아볼 수 없는 이 책만의 장점이다. 가짓수만 많고 실속은 없는 방대한 기술이나, 편식을 유도하는 일방적인 서술에서 벗어난 점도 미덕이다. 세계 흐름의 전환점과 분기점이 된 56가지 주제를 징검다리 삼아 복잡한 세계사의 물줄기를 한 걸음 한 걸음 건너도록 이끈다. 단순히 사건과 장면을 기억하는 차원을 넘어 각 시대별로 역사적 사건이 갖는 의미와 인과관계를 파악하는 데에 큰 도움을 줄 것이다.",1,국내도서-청소년
16,9788970128856,8500082,"총, 균, 쇠","31,500원","1,750원",재레드 다이아몬드/김진준,문학사상,"인종주의적 설명 방식을 뒤집는, 문명 발전에 관한 새로운 보고서 왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 새롭게 개정신판이 출간되었다. 진화생물학자인 재레드 다이아몬드는 총기와 병균과 금속이 역사에 미친 엄청난 영향에 대해 분석한다. 일단 수렵 채집 단계를 넘어서 농경을 하게 된 사회들은 문자와 기술, 정부, 제도뿐만 아니라 사악한 병원균과 강력한 무기들도 개발할 수 있었다. 그러한 사회들은 질병과 무기의 도움으로 다른 민족들을 희생시키며 자신들의 삶의 터전을 새로운 지역으로 확장했다. 지난 500여 년간 유럽인이 자행한 비유럽인 정복은 이러한 과정을 극적으로 보여주는 예다.",1,국내도서-사회 정치
17,9791129706812,95293941,최태성의 만화 한국사 1 전근대편,"14,400원",800원,최태성/김연큐,메가스터디북스,"『최태성의 만화 한국사』는 대한민국 대표 역사 강사 최태성과 만화 작가 김연큐가 2년의 준비 기간 끝에 내놓은 한국사 강의 만화이다. 한국인이 꼭 알아야 할 굵직한 역사적 사건들을 쉽고 재미있는 한 편의 이야기로 풀어내 술술 읽힌다. 선명한 색채와 반짝이는 아이디어로 보는 맛을 더했고, 유머러스한 드립으로 읽는 재미까지 챙겼다. 「제1권- 전근대편」에서는 선사부터 조선 후기까지의 역사를 38개의 다채로운 에피소드로 풀어냈다. 단편적인 사실 관계를 전달하는 데 그치지 않고, ‘소통’이란 키워드를 가지고 역사로의 시간 여행을 떠날 수 있도록 하였다. 현재의 우리와 다르지 않은 과거 속 그들의 삶을 통해 인생과 역사를 함께 엿볼 수 있는 시간이 될 것이다.",1,국내도서-역사
18,9788934991328,95721612,사피엔스 : 그래픽 히스토리 Vol.1,"16,020원",890원,김명주/다비드 반데르묄렝/다니엘 카사나브/유발 하라리,김영사,"쉽고 재밌는 또 다른 『사피엔스』의 탄생! 전 세계 1600만 부, 국내 100만 부 베스트셀러를 ‘그래픽 히스토리’로 만나다 ‘그래픽 히스토리’로 돌아온 『사피엔스』의 빅 퀘스천 1탄: 인류의 탄생 흥미롭고 기발한 만화적 상상력으로 재미와 이해도를 높인 『사피엔스』 2015년 11월 출간 이후 하라리 열풍을 일으킨 『사피엔스』가 ‘그래픽 히스토리’로 돌아왔다. 2020년부터 1년마다 순차적으로 출간되는 『사피엔스: 그래픽 히스토리』 시리즈는 교양 논픽션인 원작의 핵심이 기발한 각색과 세련된 그림을 통해 흡인력 강한 스토리텔링으로 재탄생한 그래픽노블의 걸작이다. 그중 첫 권은 원작의 ‘1부 인지혁명’을 다룬다. 인류 진화의 여정이 리얼리티 TV쇼로 생중계되고, ‘픽션’ 박사가 문명의 토대가 된 ‘허구’의 가공할 힘을 설명한다.",1,국내도서-인문
19,9791129706829,95293988,최태성의 만화 한국사 2 근현대편,"14,400원",800원,최태성/김연큐,메가스터디북스,"『최태성의 만화 한국사』는 대한민국 대표 역사 강사 최태성과 만화 작가 김연큐가 2년의 준비 기간 끝에 내놓은 한국사 강의 만화이다. 한국인이 꼭 알아야 할 굵직한 역사적 사건들을 쉽고 재미있는 한 편의 이야기로 풀어내 술술 읽힌다. 선명한 색채와 반짝이는 아이디어로 보는 맛을 더했고, 유머러스한 드립으로 읽는 재미까지 챙겼다. 「제2권 근현대편」에서는 ‘꿈’이라는 키워드가 관통한 150여 년의 시간을 28개의 울림 있는 에피소드로 엮어냈다. 신분제로부터의 해방을 꿈꾸었던 개항기, 식민지로부터의 독립을 꿈꾸었던 일제 강점기, 독재와 가난을 대물림하지 않길 바랐던 앞선 세대의 삶을 만나볼 수 있다. 그들이 간절히 바랐던 꿈이 만들어 낸 역사가 바로 지금의 대한민국이고, 그 이야기를 기록한 것이 근현대사임을 확인하는 값진 시간이 될 것이다.",1,국내도서-역사
20,9788936478766,102831060,나의 문화유산답사기 제주편 감귤 에디션,"18,000원","1,000원",유홍준,창비,"제주를 사랑하는 모든 이들을 위한 안내서 『나의 문화유산답사기』 제주편을 다시 만난다 2012년 초판 출간 이후 15만부 이상이 판매되며 제주를 찾는 여행자들을 위한 안내서로 사랑받아온 『나의 문화유산답사기 제주편』이 새롭고 젊은 감각의 외형을 갖춘 ‘감귤 에디션’으로 재탄생했다. 한권을 오롯이 제주에 할애해 제주의 자연과 문화유산, 역사와 사람 이야기로 풍성하게 채운 제주 답사기는 400만부 이상 판매된 초대형 베스트셀러 ‘나의 문화유산답사기’ 시리즈 중에서도 새로운 지평을 열었다고 평가받는다. 이미 전국민의 휴양지에서 세계적인 관광지로 발돋움한 제주, 누구나 한번쯤 가보았고 누구나 잘 아는 곳이라 생각하는 제주, 그 구석구석에 숨어 있는 자연의 아름다움과 문화유산의 가치를 이처럼 총체적으로 집약해놓은 경우는 찾아보기 힘들다.",1,국내도서-역사
21,9788950997977,104819389,둠 재앙의 정치학,"34,200원","1,900원",니얼 퍼거슨/홍기빈,21세기북스,"2020년 팬데믹 비극에 대한 니얼 퍼거슨의 역사적 분석 인류가 재난에 대응하는 역량은 왜 더 취약해지고 있는가? 위기에 강한 사회적·정치적 구조는 어떻게 만들 수 있는가! 《광장과 타워》 《금융의 지배》 등 인류사적 스케일로 문명의 흐름을 짚어온 21세기 최고의 경제사학자 니얼 퍼거슨이 코로나19에 여전히 신음하고 있는 세계 앞에 재난의 역사와 그로 인한 전 지구적 재앙의 역사를 되새긴다. 그는 고대 로마의 폼페이, 중세의 페스트, 현대의 체르노빌과 코로나19 유행까지, 반복되는 사건들의 “재난 현장을 생동감 넘치게 묘사하는 방법(〈가디언〉)”으로 역사 전체를 살피고 있다. 니얼 퍼거슨은 인류에게 종말론을 연상시킨 과거의 전염병이나 전쟁을 소재로 한 문학이나 회화 작품 등을 통해 재난과 재앙이 인류에게 갖는 의미를 보여주는 한편, 근대 이후 과학의 발달에도 인류의 바람과 달리 재난을 완벽히 예방하기는 불가능함을 언급한다.",2,국내도서-역사
22,9791191019445,102922446,친일파 열전,"14,400원",800원,박시백,비아북,"일본에 강제 병합된 1910년부터 1945년 해방까지, 35년에 이르는 일제강점기의 역사를 만화로 풀어낸 작품 『35년』의 저자 박시백이 『친일파 열전』으로 다시 돌아왔다. 일제강점기 35년이라는 방대한 역사에서 친일파의 역사로 초점을 좁혀 촘촘하게 훑어내어 고리타분하게 들리는 ‘친일 청산’이라는 단어에 다시 한번 현재성을 불어넣는다. ‘작가의 말’에서 저자는 왜 친일 청산이 여전히 현재의 문제인지에 관해 다음과 같이 설명한다. “해방이 된 후에도 친일파는 청산이 되지 못했을 뿐 아니라 도리어 우리 사회의 주류로 자리 잡았다. 이런 역사를 빼놓고서 지금의 상황을 이해할 수 있을까? 그렇다. 친일파는 여전히 건재하다. 일제강점기 시절 침략자에 붙어 민족을 배반했고 해방 후에도 주류가 되어 떵떵거렸던 당사자들은 이제 생물학적 수명을 다해 사라지고 없지만 그들의 혈연적, 사상적 후예들은 여전히 우리 사회의 한 축을 형성하고 있다.",1,국내도서-역사
23,9788925562438,56931278,하룻밤에 읽는 세계사,"13,500원",750원,미야자키 마사카츠/이영주,알에이치코리아(RHK),"“역사는 미래와의 대화다” 탄생과 연결, 다시 팽창을 거듭한 세계 재편의 기록, 최신 개정판으로 만나다 초판 출간 20년에 가까운 시간동안『하룻밤에 읽는 세계사』는 인문 분야에서는 이례적으로 폭발적인 반응을 얻으며 출간 즉시 베스트셀러가 되었다. 전체적으로는 시대별로, 중요한 사건과 화제는 주제별로 정리함으로써 역사의 종횡을 아우르며 풍부한 시각 자료를 곁들여 방대한 지식을 명쾌하게 전달하는 하룻밤 시리즈는 인문 교양서의 바이블이라 하기에 손색이 없다. 일본의 ‘국민 교양방송’으로 애청하는 NHK강좌의 인기과목 전임강사였던 저자는 30여 년 간의 고교 교사, 교육대학 교수로서의 경력을 십분 살려 고교 세계사 교과서를 집필해왔다. 그런 그에게 1990년대 중반, ‘하룻밤에 읽을 수 있는 세계의 역사’를 콘셉트로 한 일반교양서의 출간 제안이 들어온다.",1,국내도서-역사
24,9791189143251,103768840,한국의 능력주의,"16,200원",900원,박권일,이데아,"불평등은 참아도 불공정은 못 참는 한국, 한국인 불편한 진실…한국인의 64.8% 불평등 찬성, 12.4%만 평등 찬성 시험, 보상, 능력, 무임승차, 개천 용, 억울하면 출세하라 능력에 따른 차별, 능력주의는 어떻게 우리의 삶을 망가뜨리는가 시험에 합격하지 않거나 일정한 조건에 부합하지 않은 사람들이 보상을 받는 것에 대해, 예컨대 비정규직이 정규직으로 전환하는 데 있어 한국인들은 유독 불편해한다. 자격이 없다, 불공정하다는 것이다. 자못 당연한 것처럼 보인다. 이 논리의 핵심에 능력주의(meritocracy)가 있다고 책은 말한다. 능력이 우월할수록 더 많은 몫을 가지고 능력이 모자랄수록 더 적은 몫을 가지는 것이 당연시되는 것. 이 룰이 깨지면 부정의하고, 불공정하며 사회의 효율을 떨어뜨리는 일로 비난받는다. 이 책은 이렇듯 ‘불평등은 참아도 불공정은 못 참는’ 한국 사회와 한국인에 대한 보고서다.",1,국내도서-사회 정치
25,9791170432487,103918112,1일 1페이지 조선사 365,"16,200원",900원,유정호,믹스커피,"역사 이야기만 나오면 움츠러드는 당신을 위한 하루 한 장, 부담 없이 다시 읽는 조선 왕조 이야기 조선사는 한국인에게 가장 친숙한 역사인 만큼 우리가 꼭 알아야 하는 과거로 인식되곤 한다. 하지만 우리는 생각보다 조선을 모른다. 영화나 드라마 속 조선의 모습은 대개 특정 왕의 통치 시기나 하나의 사건만을 비출 뿐, 조선이란 나라 전체를 조망하지 않는다. 조선은 어떻게 건국되었고, 얼마나 번성했으며, 어느 시점에 망국의 길로 접어들었을까? 건국 초의 조선과 선조 때의 조선, 구한말의 조선은 또 어떻게 다를까? 임진왜란과 을미사변, 붕당과 탕평책 등 조각조각 알고 있던 조선의 모습이 아닌 조선시대 전체를 부담 없이 꿰뚫어보고 싶다면 지금 바로 주목해야 할 책이 있다. 『1일 1페이지 조선사 365』는 조선 왕조 500년을 365개의 이야기로 한 권에 담은 책이다.",1,국내도서-역사
26,9791160807332,105030588,음식을 공부합니다,"14,400원",800원,주영하,휴머니스트,"음식에 진심이어서 음식 이야기를 듣고, 말하고, 쓰기 좋아하는 사람들에게 음식인문학자 주영하의 음식 공부 노하우 대방출! 방대하고 다양한 자료를 치밀하게 분석해 가장 신뢰할 만한 음식문화사를 들려주는 음식인문학자 주영하 교수. 35년간 음식의 역사와 문화를 연구하면서 터득한 ‘음식 공부’ 노하우를 아낌없이 독자들과 나누고자 이 책을 썼다. 하나의 공부법에 가장 적절한 음식 한 가지를 사례로 들어 12가지 ‘음식 공부법’을 쉽고 맛깔나게 전달한다. 라면의 기원지로 알려진 란저우에는 ‘라몐’이 없다? 아이스크림은 축산물? 가을 전어가 아니라 입하 전어? 전국적으로 설날에 떡국을 먹은 건 최근의 일? 조선시대 잡채에는 당면이 없다? 냉면은 겨울 음식? 상식을 깨는 질문과 음식의 역사를 찾아가는 흥미로운 여정으로 음식을 ‘먹는’ 즐거움 못지않은 음식을 ‘아는’ 기쁨을 선사한다.",1,국내도서-역사
27,9791166814198,101304735,독살로 읽는 세계사,"14,400원",800원,엘리너 허먼/솝희,현대지성,"“댄 브라운의 『다빈치 코드』보다 훨씬 재미있다.” _워싱턴포스트 세계사의 흐름을 바꾼 독살 스캔들의 전모를 밝히다 재미와 지식을 한 권에 담은 알짜배기 역사책! 식탁 가득 산해진미가 차려졌다. 하지만 왕은 마음 편히 수저를 들 수 없었다. 음식에 독이 들어 있을까 봐 두려웠기 때문이다. 독살은 자연사로 위장할 수 있고 진범을 찾기가 어려워서 권력을 탐하거나 누군가에게 앙심을 품은 이들이 널리 사용하던 수법이었다. 그래서 군주제가 성립된 뒤부터 근세에 이르기까지 왕족이나 귀족, 유명 인사의 석연치 않은 죽음 뒤에는 어김없이 독살 의혹이 뒤따랐다. 이 책은 철저한 고증과 최신 법의학 지식을 토대로 당대에 세상을 떠들썩하게 했던 독살 사건의 진상을 추적해나간다.",1,국내도서-역사
28,9788965135586,75447737,유럽 도시 기행 1,"14,850원",820원,유시민,생각의길,"유시민의 낯선 도시에게 말 걸기, 그 첫 번째 이야기. '인생은 너무 짧은 여행'이란 말에 끌려 시작한 작가의 유럽 탐사가 5년이라는 시간을 거쳐 책으로 출간되었다. 각 도시의 건축물과 거리, 광장, 박물관과 예술품이 들려주는 이야기에 귀 기울일 수 있도록 역사와 문화, 그리고 그에 얽힌 지식과 정보를 유시민만의 목소리로 담아냈다. 첫 번째 책에는 아테네, 로마, 이스탄불, 파리 네 도시의 이야기를 담았다.",1,국내도서-역사
