순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9791167820334,104122246,네가 다시 제주였으면 좋겠어,"14,850원",820원,리모 김현길,상상출판,"그림을 통해 세상과 소통하는 여행작가 리모 김현길, 한국인이 가장 사랑하는 섬 제주의 온기를 책에 담다! 그림으로 느린 여행을 떠나는 여행작가 리모 김현길이 『네가 다시 제주였으면 좋겠어』로 돌아왔다. 여행이라기엔 가깝고, 일상이라기엔 조금 먼 이야기가 제주에 들어 있다. 작가에게 제주는 단순한 여행지 이상의 의미가 있다. 대학생 때부터 틈만 나면 닿았던 곳, 길게도 짧게도 내내 머물렀던 곳이 바로 제주였다. 제주에 대한 애정이 각별한 작가의 시선은 우리가 그리워했던 순간이 무엇인지를 명확히 보여준다. 편히 웃고 걷고 서로를 마주할 수 있는 순간, 그리하여 낯설고도 익숙한 제주에 빠져든다. 사진과 영상이 보편화된 시대의 그림 여행이 낯설게 느껴질지도 모른다. 그러나 그 고요한 호흡은 보는 이로 하여금 자신의 여행을 곱씹을 수 있게 하는 느림의 미학을 선물한다.",1,국내도서-에세이
12,9791189159641,102268419,식객 허영만의 백반기행 1-2 세트,"30,600원","1,700원",TV조선 〈식객 허영만의 백반기행〉 제작팀/허영만,가디언,"『식객 허영만의 백반기행』 1, 2권이 세트로 찾아왔다! 서울부터 제주까지, 2년에 걸쳐 집대성한 전국 맛집 400여 곳 휴가철 전국 어디를 가든지 맛집 고민은 이제 끝! 2020년 출간되어 여행 분야 베스트셀러를 차지한 『식객 허영만의 백반기행』과 2021년 한층 더 업그레이드되어 출간된 『식객 허영만의 백반기행 2』가 세트로 찾아왔다. 전국을 돌며 맛본 음식 ‘베스트 오브 베스트’를 엄선해 식객의 맛깔나는 비평과 함께 약 400군데의 식당을 두 권에 모아 소개했다. 특히 이번 세트는 휴가철을 맞아 전국 팔도로 떠나는 여행객들에게는 없어서는 안 될 필수 아이템이 될 것이다. 식객의 맛집 선정 기준은 세 가지다. 첫째, ‘집밥 같은 백반’. 첫술을 뜨면 어머니가 차려준 집밥이 떠오른다. 둘째, ‘놀라운 가성비’. 이 값에 이 한 상이 가능한가 싶다. 셋째, ‘그럼에도 놀라운 맛’. 맛집은 무조건 ‘맛’으로 평가되어야 마땅한 법이다.",2,국내도서-건강 취미
13,9791190846172,101921167,리얼 제주,"15,300원",850원,김태연/양정임,한빛라이프,"제주 토박이 여행 블로거와 이주 10년 차 여행작가가 큐레이션한 제주를 가장 멋지게 여행하는 방법 코로나19 팬데믹 시대, 막혀버린 해외여행의 대체지로 가장 많이 언급되고 있는 곳이 제주입니다. 하지만 제주는 어느 여행지의 대체지라기보다는 그 자체로 고유한 매력 넘치는 곳입니다.당신은 제주에 대해 얼마나 알고 있나요? 따뜻한 봄날, 흩날리는 벚꽃과 노란 유채꽃 흐드러진 들판에서 인생샷을 찍어 본 적 있나요? 시원한 여름, 하얀 백사장과 어우러진 에메랄드빛 바다에 풍덩 몸을 맡겨봐도 좋아요. 낭만적인 가을, 몽환적인 핑크뮬리와 억새 물결 속에서 감성 충전 제대로 할 수 있고요. 하얀 겨울 눈꽃 핀 한라산 등반은 진짜 제주를 느끼기에 최고입니다.",2,국내도서-건강 취미
14,9791190582520,103553488,생각하고 싶어서 떠난 핀란드 여행,"11,700원",650원,마스다 미리/홍은주,이봄,"마스다 미리를 사랑하는 사람이라면 결코 지나칠 수 없는 ‘마스다 미리표’ 핀란드 여행기! 평범한 일상 속에서 반짝임을 발견해내는 작가 마스다 미리. 만화가이자 에세이스트로 알려져 있는 그녀가 나 홀로 여행의 고수라는 사실을 알고 있는지. 핀란드에 혼자 처음 방문했을 때 공항에 도착해서부터 호텔 체크인까지를 도와주는 여행사 상품을 선택한 그녀가 어느새 혼자 숙소를 찾아가고 익숙한 곳을 방문하며, 자신만의 미션을 정해서 달성하는 경지에 이르렀으니 말이다. 그녀는 일상에서와 마찬가지로 여행에서도 그곳에서 마주하게 되는 모든 당혹스러운 순간을 자신만의 유쾌하고 담담한 태도로 헤쳐나간다. 어설프면 어설픈 대로, 당황하면 당황한 대로 그 순간에 존재하는 것이다.",1,국내도서-에세이
15,9791197021602,90039222,오래 준비해온 대답,"14,850원",820원,김영하,복복서가,"10년 만에 다시 돌아온 김영하의 본격 여행 산문 『오래 준비해온 대답』은 소설가 김영하가 10여년 전 시칠리아를 여행하며 보고 느낀 것을 생생히 담아낸 책이다. 2009년 첫 출간 당시 많은 사랑을 받았던 『네가 잃어버린 것을 기억하라』를 새로운 장정과 제목으로 복복서가에서 다시 선보인다. 이번 개정 작업을 통해 작가는 문장과 내용을 가다듬고 여행 당시 찍은 사진들을 풍성하게 수록하였다. 초판에는 실려 있지 않은 꼭지도 새로 추가하여 읽는 재미를 더했다. 2007년 가을, 지금은 장수 여행 프로그램으로 자리매김한 EBS [세계테마기행]의 런칭을 준비하던 제작진이 작가 김영하를 찾아왔다. 그들이 작가에게 어떤 곳을 여행하고 싶냐고 물어보았을 때, 김영하는 ‘마치 오래 준비해온 대답’처럼 시칠리아라고 답한다.",1,국내도서-에세이
16,9791167820303,103931766,오는 날이 장날입니다,"15,120원",840원,김진영,상상출판,"제철을 알면 시장이 보인다! 전국 각지를 돌며 경험한 오일장의 멋과 맛에 관한 이야기 그 흔한 ‘맛집’ 열풍에도 개의치 않고 자신만의 ‘맛’을 고집하는 사람이 있다. 지난 26년간 식재료 전문가의 길을 걸어오며 대한민국 최고의 먹거리를 연구하고 기획해 온 저자 김진영. 그는 첫 시작을 뉴코아 백화점에서 식품 구매 담당자로 시작해 ‘친환경 유기농 라이프’를 대표하는 초록마을, 먹거리 쇼핑의 중심 플랫폼 쿠팡 등의 식품 MD를 거치며 무엇보다 신선하고 정직한 식재료를 연구해 왔다. 『오는 날이 장날입니다』는 그런 저자가 계절을 따라 전라도, 경상도, 강원도, 제주도 등을 돌며 만난 시장의 이야기를 담은 책이다. 봄과 겨울에는 따뜻한 남쪽의 오일장, 여름과 가을에는 선선한 북쪽의 오일장에서 직접 경험한 시장의 맛을 담았다. 읽다 보면 새삼 ‘우리나라에 시장이 이렇게 많았나?’ 싶으면서도 반갑게 제철을 맞이할 준비가 되어 있을 것이다.",2,국내도서-건강 취미
17,9791190938624,98859230,설레는 건 많을수록 좋아,"13,500원",750원,김옥선,상상출판,"유튜버 ‘여락이들’의 가식 0% 역대급 재미 보장 여행기! “내가 뭘 선택하든 후회하지 말자. 내가 겪은 경험들은 무엇과도 바꿀 수 없다.” 갈까 말까 고민하다 끝내 못 간 여행이 쌓여만 간다. 학교 때문에, 직장 때문에, 여건 때문에, 시기가 안 맞아서… 핑계는 끝이 없고 미루면 미룰수록 떠날 용기는 사라진다. 그런데 여기, 계획도 세우기 전에 비행기 표부터 예약해 버리는 사람들이 있다. 아무 예고 없이 인도행 티켓을 생일 선물로 주고 갑자기 인도로 떠나는가 하면, 영국에 가는 비용을 줄이기 위해 시베리아 횡단열차에 7일간 머무르기도 한다. 계획을 세우지 않아야 더 재밌고 설렐 수 있다는 그들의 신조는 결국 58만 구독자의 마음을 사로잡았다. ‘여락이들’의 더티와 그래쓰는 23살에 과감히 회사를 그만두고 함께 여행을 떠난다.",1,국내도서-에세이
18,9788970757193,104847369,누구에게나 저마다의 여행이 있다,"16,920원",940원,엘레나 정,문학세계사,"“Good morning, Welcome aboard.” 여행을 떠날 때, 가장 가슴 설레는 인사말. 당신은 어디로 날아가고 싶나요? 모두가 힘들었던 기나긴 팬데믹 상황이 조금씩 긍정적으로 변화되는 분위기로 접어들고 있다. 위드 코로나가 시행되며 가까운 시일에 자유롭게 여행하는 날이 다시 돌아올 것이다. 많은 항공사와 여행사들도 다시 노선을 늘리고 승객들을 모으고 있으며, SNS에는 벌써부터 심심치 않게 해외여행 사진들이 올라오고 해외여행 비행기표를 예약했다는 글들이 올라오고 있다. ‘여행 좀 해본 스튜어디스 언니의 여행 썰’ 『누구에게나 저마다의 여행이 있다』에는 여행자로서, 승무원으로서 전 세계를 유랑하며 방문했던 엘레나 정의 여행지들이 모두 한 권에 담겨 있다. 책에는 승무원으로서 전 세계를 누비며 직접 찍은 사진과 재밌는 에피소드들뿐만 아니라 ‘내돈내산’ 전 세계 맛집, 가볼 만한 곳들과 추천 여행 코스, 스튜어디스의 비하인드 스토리까지 읽을거리로 넘쳐난다.",2,국내도서-건강 취미
19,9791160947564,103751242,"페르마타, 이탈리아","11,700원",650원,이금이,사계절,"이금이 작가의 첫 에세이 이금이 작가가 등단한 지 38년 만에 첫 에세이를 펴냈다. 70만 부 이상 판매된 『너도 하늘말나리야』, 뮤지컬로 각색된 『유진과 유진』 등 따뜻한 문체와 깊이 있는 시선으로 독자의 마음을 어루만지는 작품을 써온 이금이 작가는 어린이부터 성인 독자까지 전 세대에 걸쳐 사랑받는 아동청소년문학 작가다. 등단 이후 쭉 소설을 써온 작가는, 인생의 중요한 순간을 앞두고 이탈리아로 떠나 한 달 동안 머문 시간들로 첫 에세이를 엮었다. 코로나19 사태 이전에 ‘운 좋게’ 다녀온 여행 이야기를, 다시 자유롭게 떠날 수 있기를 바라는 마음으로 조심스럽게 풀어냈다.",1,국내도서-에세이
20,9791190266031,103737332,아름다운 우리 절을 걷다,"16,200원",900원,탁현규,지식서재,"절에서 옛것의 아름다움을 느끼기 위한 최소한의 지식 여행자가 꼭 방문해야 할 곳으로 유럽에 성당이 있다면, 우리에게는 절이 있다. 이렇게 절은 누구나 찾는 친근한 장소이지만, 어떻게 쓰이는지 알 수 없는 여러 채의 집들, 석조물, 조각상, 그림 등으로 채워진 미지의 공간이기도 하다. 절에 대한 책들은 많지만 그곳에서 여행자들이 갖는 궁금증을 제대로 풀어 주지는 못한다. 우리 옛 미술을 쉽고 재미있게 알려 스타 강사가 된 이 책 저자는 일주문부터 산신각까지 절 구석구석을 돌아다니며 곁에 있는 여행 가이드처럼 친절한 설명을 해 준다. 이 책은 절에서 옛것의 아름다움을 제대로 느끼기 위해 알아야 할 최소한의 지식을 담고 있다. 각기 다른 절들에서 공통점을 뽑아내 이야기해 주기 때문에 어느 절에 가도 책 내용을 적용시킬 수 있다. 불교 신자이거나 그저 단순한 절 여행자이거나 상관없이 모두에게 이 책은 좋은 안내자가 되어 줄 것이다.",1,국내도서-인문
21,9791165210434,89018343,무작정 따라하기 하와이,"16,650원",930원,박재서,길벗,"출국 전 후로 나눠 보는 최초의 분리형 가이드북, 무작정 따라하기 여행 시리즈 [무작정 따라하기 여행 시리즈]는 출국 전 여행 계획을 더 쉽게 짤 수 있도록 도와주는 ‘1권 미리 보는 테마북’, 출국 후 여행을 더 가볍게 즐기는 ‘2권 가서 보는 코스북’ 두 권으로 구성되어 있다. 1권은 각 도시별로 관광, 음식, 쇼핑, 체험 등 놓칠 수 없는 최신 여행 테마를 총망라하여 여행자의 선택의 폭을 넓혔다. 잡지를 보듯 재미있고 다양한 주제의 읽을거리와 시원한 사진 구성이 특징이다. 2권은 다양한 일정별·테마별·목적별 여행코스를 최다 구성하여 고민할 필요 없이 그대로 따라가면 되도록 구성했다. 여행 시 필요한 최소한의 여행 정보만을 담아 책의 무게를 줄이고 상세한 도보 코스 지도와 지역별 교통 지도가 삽입되어 처음 방문하는 해외여행지에 대한 여행자들의 걱정을 줄였다.",2,국내도서-건강 취미
22,9788972916529,57992378,나를 부르는 숲,"12,150원",670원,빌 브라이슨/홍은택,까치(까치글방),"자연에 대한 인간의 사랑과 도전을 그린 빌 브라이슨의 걸작 숨막히는 대장관과 유쾌한 이야기들이 가득한 세계 최장의 트레일 종주기 “세계에서 가장 유러머스한 여행작가” 빌 브라이슨의 진면목을 제대로 느낄 수 있는 그의 대표작인 이 책은 세계에서 가장 길며, 수많은 위험이 도사리고 있지만 아름다운 장관이 펼쳐지는 애팔래치아 트레일에 도전한 저자의 고군분투기이다. 애팔래치아 트레일은 미국 조지아 주에서 메인 주까지 이어지는 총 길이가 3,500킬로미터에 달하는 대장정의 길이다. 저자는 자신의 동네에서 우연히 숲으로 사라지는 길을 발견하고, 그 길이 바로 애팔래치아 트레일에 이른다는 것을 알게 된다. 그는 애팔래치아 트레일을 종주하는 대장정에 도전하기로 결심하고, 인간적인 결점을 가진 친구와 함께 배낭을 메고 길을 나선다.",1,국내도서-에세이
23,9788954683487,105031987,호의는 거절하지 않습니다,"12,600원",700원,김남희,문학동네,"여행하지 않는 시대의 여행작가, 일상과 사람을 여행하고 관찰한 2년의 기록 “우리는 서로의 약함에 기대어 살아왔다” 이어지는 작은 다정함으로 불안의 시기를 건너는 기술 조심스레 불안의 시기를 건너왔다. 아직도 건너는 중이다. 무슨 힘으로 버텼나. 안타까운 거리를 두고도 어떻게든 나누려 애쓰던 따뜻한 마음, 다정한 말 한마디. 그 힘으로 버텨오지 않았나. 『호의는 거절하지 않습니다』는 여행 경력 15년차 베테랑 여행가 김남희의 ‘가만한 여행기’다. 코로나19가 세상을 정지시킨 2년 동안 가장 가까운 곳에서 일상과 사람을 여행하고 관찰한 이야기를 기록했다. 원치 않게 발이 묶였지만 비자발적인 정지는 그가 주변 사람들과 삶을 돌아볼 계기를 마련해주었다. 그리고 한 가지 새삼스러운 깨달음을 남겼다. 우리는 도와달라고 해도 괜찮다. 서로의 어깨에 기대도 괜찮다. 낯선 사람에게서 받아 낯선 사람에게 다시 전하는 다정함.",2,국내도서-에세이
24,9791190073103,103153394,에이든 우리나라 제주 여행지도,"12,960원",720원,이정기/타블라라사,타블라라사,"여행 베스트셀러 에이든 여행지도 시리즈중 에이든 제주여행지도가 2021년 8월 개정2판을 출시하였습니다. 최근 뜨고있는 핫이슈 여행지 스팟들과 인스타혀앵지, 오름, 카페, 맛집등을 업데이트 하였습니다. 또한 뒷면에 애월, 함덕, 월정리, 협재, 중문, 서귀포, 성산의 상세지도를 추가하여 조금 더 상세하게 여행지를 찾아볼 수 있도록 구성하였습니다. 제주여행 준비할때 어디갈지 고민 많이 되시죠? 인터넷 검색해도 광고뿐인 반복적인 글들만 나와서 오히려 인터넷으로 가볼만한 곳 찾기가 힘듭니다. 1500여곳의 여행지 스팟과 스토리를 담고 있는 여행서적 베스트셀러 “에이든 우리나라 제주여행지도”로 이제는 준비없이 고민없이 떠나시면 됩니다. A1사이즈의 제주 여행지도 전체 앞면과 각 지역별 상세지도 뒷면을 포함해 1장 그리고 맵북 1권, 그리고 물방울 스티커 녹색1장, 빨간색1장으로 이루어져 있습니다.",1,국내도서-건강 취미
25,9791190073059,90582727,에이든 우리나라 전국 여행지도,"16,830원",930원,타블라라사/이정기,타블라라사,"여행베스트셀러 에이든 전국여행지도가 2020년 6월 개정판을 출시하였다. 전국의 캠핑장 표시를 포함하여 기존 전국여행지도에 컨텐츠 업데이트가 되었다. 주말이나 국내여행 준비할때 어디갈지 고민이 되는가? 인터넷 검색해도 광고뿐인 반복적인 글들만 나와서 오히려 인터넷으로 가볼만한 곳 찾기가 힘들다. 1500여곳의 여행지 스팟과 스토리를 담고 있는 여행서적 베스트셀러 “에이든 우리나라 전국여행지도”로 이제는 준비없이 고민없이 떠나시면 된다. A1사이즈의 전국 여행지도 1장, A1사이즈의 서울근교/수도권 여행지도 1장 그리고 미니가이드북 1권, 그리고 물방울 스티커 녹색1장, 빨간색1장으로 이루어져 있다. A1 사이즈의 여행지도는 방수종이로 제작하여 물에 전혀 젖지 않는다. 또한 많이 접어도 접은 부분이 해지거나 찢어지지 않아서 여행하면서 휴대하기 편리하다.",2,국내도서-건강 취미
26,9791191248111,98853711,우리는 우리를 잊지 못하고 (김민철×키미앤일이 썸머 에디션),"15,300원",850원,김민철,미디어창비,"“모두가 간절히 풀려나길 바랐던, 그 단어가 풀려났어요. 바로 ‘여행’입니다.” 잃어보고 나서야 그 의미를 보다 선명하게 알게 된 여행의 감각을 전하는 김민철과 다시 떠나게 될 새로운 목적지를 기대하게 만드는 키미앤일이의 콜라보 에디션! 마음껏 떠날 수 없는 여행에 대한 그리움을 달래준 김민철의 『우리는 우리를 잊지 못하고』가 경쾌한 색감으로 천진한 기분을 선사하는 키미앤일이 그림을 만나 썸머 에디션으로 돌아왔다. 여행지에서의 느긋한 휴식을 떠올리게 만드는 그림 「분홍 테이블」이 담긴 이번 에디션에는 어디로든 떠날 수 있는 일상을 맞이한 독자에게 보내는 김민철 작가의 친필 편지가 특별 수록되었다. 『우리는 우리를 잊지 못하고』에는 다시 찾아갈 방법도, 다시 만날 기약도 없는 우연이라는 마법의 작은 빛들이 가득하다.",1,국내도서-에세이
27,9791189856540,81652518,제 마음대로 살아보겠습니다,"12,780원",710원,이원지,상상출판,"현실은 엉망이지만 “일단 가면 어떻게든 되겠지!” 『제 마음대로 살아보겠습니다』는 ‘원지의 하루’라는 채널을 운영하고 있는 여행 유튜버 원지의 피땀눈물의 여행기를 담은 책이다. 책에는 생생한 여행기와 함께 누구나 20대, 30대를 지나면서 겪는 청춘의 고민이 함께 담겨 있다. 대학 졸업 후 진로, 박봉과 야근, 서른이라는 나이의 압박, 하고 싶은 일과 해야 하는 일 사이 등등. 그렇다 보니 여자 혼자 무턱대고 떠난 아프리카 여행부터 야근과 박봉이 필수였던 직장인 시절, 회사를 박차고 나와 하고 싶은 일에 열정으로 덤벼들던 스타트업 창업, 우간다에서 벌인 또 다른 스타트업, 서른이라는 나이에 미국으로 훌쩍 인턴을 떠나버린 일까지 에피소드가 다양하다. 하나도 연관이 없던 것 같던 이 일들은 그녀가 6만 명 이상의 구독자를 보유한 ‘여행 유튜버’로 성장할 수 있는 밑거름이 되었고, 지금은 좋아하는 일을 업으로 삼으며 행복한 나날을 보내고 있다.",1,국내도서-에세이
